,Last Refresh: 2024-11-24 19:15:48,,,
Calendar Basis,,,,
Portfolio, ,원,,
Item, , ,,
Frequency,일간,KRW,,
Non-Trading Day,Previous,Asc,,
Include Weekend,ALL, ,,
Term,20071020,20241120,,
Symbol,I.001,I.101,I.201,I.253
Symbol Name,코스피,코스피 200,코스닥,코스닥 150
Kind,IDX,IDX,IDX,IDX
Item,I31000040F,I31000040F,I31000040F,I31000040F
Item Name,종가지수(포인트),종가지수(포인트),종가지수(포인트),종가지수(포인트)
Frequency,DAILY,DAILY,DAILY,DAILY
2022-01-11,"2,927.38",388.97,969.92,"1,391.99"
2022-01-12,"2,972.48",394.66,991.33,"1,431.07"
2022-01-13,"2,962.09",393.00,983.25,"1,411.07"
2022-01-14,"2,921.92",387.45,971.39,"1,386.43"
2022-01-15,"2,921.92",387.45,971.39,"1,386.43"
2022-01-16,"2,921.92",387.45,971.39,"1,386.43"
2022-01-17,"2,890.10",383.81,957.90,"1,372.55"
2022-01-18,"2,864.24",381.01,943.94,"1,354.45"
2022-01-19,"2,842.28",378.21,933.90,"1,338.01"
2022-01-20,"2,862.68",380.39,958.70,"1,377.80"
2022-01-21,"2,834.29",376.08,942.85,"1,350.49"
2022-01-22,"2,834.29",376.08,942.85,"1,350.49"
2022-01-23,"2,834.29",376.08,942.85,"1,350.49"
2022-01-24,"2,792.00",371.30,915.40,"1,317.00"
2022-01-25,"2,720.39",362.39,889.44,"1,286.82"
2022-01-26,"2,709.24",360.83,882.09,"1,262.96"
2022-01-27,"2,614.49",348.58,849.23,"1,210.19"
2022-01-28,"2,663.34",357.98,872.87,"1,244.90"
2022-01-29,"2,663.34",357.98,872.87,"1,244.90"
2022-01-30,"2,663.34",357.98,872.87,"1,244.90"
2022-01-31,"2,663.34",357.98,872.87,"1,244.90"
2022-02-01,"2,663.34",357.98,872.87,"1,244.90"
2022-02-02,"2,663.34",357.98,872.87,"1,244.90"
2022-02-03,"2,707.82",361.60,891.60,"1,271.33"
2022-02-04,"2,750.26",366.34,902.87,"1,284.47"
2022-02-05,"2,750.26",366.34,902.87,"1,284.47"
2022-02-06,"2,750.26",366.34,902.87,"1,284.47"
2022-02-07,"2,745.06",362.92,899.40,"1,268.03"
2022-02-08,"2,746.47",363.48,895.27,"1,262.59"
2022-02-09,"2,768.85",368.65,910.53,"1,288.14"
2022-02-10,"2,771.93",371.57,895.68,"1,260.66"
2022-02-11,"2,747.71",368.61,877.42,"1,229.31"
2022-02-12,"2,747.71",368.61,877.42,"1,229.31"
2022-02-13,"2,747.71",368.61,877.42,"1,229.31"
2022-02-14,"2,704.48",362.98,852.79,"1,206.89"
2022-02-15,"2,676.54",360.43,839.92,"1,187.38"
2022-02-16,"2,729.68",367.30,878.15,"1,248.48"
2022-02-17,"2,744.09",369.55,874.22,"1,236.32"
2022-02-18,"2,744.52",368.55,881.71,"1,244.51"
2022-02-19,"2,744.52",368.55,881.71,"1,244.51"
2022-02-20,"2,744.52",368.55,881.71,"1,244.51"
2022-02-21,"2,743.80",368.29,884.25,"1,246.36"
2022-02-22,"2,706.79",363.51,868.11,"1,227.98"
2022-02-23,"2,719.53",364.44,877.33,"1,239.76"
2022-02-24,"2,648.80",355.04,848.21,"1,198.63"
2022-02-25,"2,676.76",358.44,872.98,"1,247.05"
2022-02-26,"2,676.76",358.44,872.98,"1,247.05"
2022-02-27,"2,676.76",358.44,872.98,"1,247.05"
2022-02-28,"2,699.18",361.54,881.07,"1,257.14"
2022-03-01,"2,699.18",361.54,881.07,"1,257.14"
2022-03-02,"2,703.52",360.59,895.45,"1,277.06"
2022-03-03,"2,747.08",367.06,912.32,"1,308.16"
2022-03-04,"2,713.43",361.69,900.96,"1,282.76"
2022-03-05,"2,713.43",361.69,900.96,"1,282.76"
2022-03-06,"2,713.43",361.69,900.96,"1,282.76"
2022-03-07,"2,651.31",353.03,881.54,"1,255.09"
2022-03-08,"2,622.40",349.38,870.14,"1,242.39"
2022-03-09,"2,622.40",349.38,870.14,"1,242.39"
2022-03-10,"2,680.32",358.01,889.08,"1,280.83"
2022-03-11,"2,661.28",355.31,891.71,"1,272.84"
2022-03-12,"2,661.28",355.31,891.71,"1,272.84"
2022-03-13,"2,661.28",355.31,891.71,"1,272.84"
2022-03-14,"2,645.65",354.61,872.44,"1,238.68"
2022-03-15,"2,621.53",351.03,871.22,"1,237.27"
2022-03-16,"2,659.23",356.09,891.80,"1,273.84"
2022-03-17,"2,694.51",361.46,914.13,"1,311.49"
2022-03-18,"2,707.02",362.33,922.96,"1,323.25"
2022-03-19,"2,707.02",362.33,922.96,"1,323.25"
2022-03-20,"2,707.02",362.33,922.96,"1,323.25"
2022-03-21,"2,686.05",358.77,918.40,"1,307.40"
2022-03-22,"2,710.00",361.66,924.67,"1,311.11"
2022-03-23,"2,735.05",364.84,930.57,"1,321.44"
2022-03-24,"2,729.66",363.38,931.75,"1,317.23"
2022-03-25,"2,729.98",362.06,934.69,"1,317.18"
2022-03-26,"2,729.98",362.06,934.69,"1,317.18"
2022-03-27,"2,729.98",362.06,934.69,"1,317.18"
2022-03-28,"2,729.56",362.06,927.11,"1,297.08"
2022-03-29,"2,741.07",363.77,937.83,"1,321.64"
2022-03-30,"2,746.74",364.50,939.07,"1,326.99"
2022-03-31,"2,757.65",365.61,944.53,"1,332.65"
2022-04-01,"2,739.85",363.19,940.57,"1,322.58"
2022-04-02,"2,739.85",363.19,940.57,"1,322.58"
2022-04-03,"2,739.85",363.19,940.57,"1,322.58"
2022-04-04,"2,757.90",364.94,947.32,"1,330.24"
2022-04-05,"2,759.20",364.74,952.47,"1,339.71"
2022-04-06,"2,735.03",361.01,943.13,"1,317.42"
2022-04-07,"2,695.86",355.73,927.95,"1,304.21"
2022-04-08,"2,700.39",356.01,934.73,"1,316.51"
2022-04-09,"2,700.39",356.01,934.73,"1,316.51"
2022-04-10,"2,700.39",356.01,934.73,"1,316.51"
2022-04-11,"2,693.10",355.78,921.83,"1,284.37"
2022-04-12,"2,666.76",352.32,913.82,"1,274.47"
2022-04-13,"2,716.49",359.00,927.31,"1,299.79"
2022-04-14,"2,716.71",357.38,928.01,"1,298.66"
2022-04-15,"2,696.06",353.84,924.44,"1,285.83"
2022-04-16,"2,696.06",353.84,924.44,"1,285.83"
2022-04-17,"2,696.06",353.84,924.44,"1,285.83"
2022-04-18,"2,693.21",353.63,918.23,"1,275.15"
2022-04-19,"2,718.89",357.36,931.56,"1,305.27"
2022-04-20,"2,718.69",357.52,928.93,"1,295.08"
2022-04-21,"2,728.21",359.02,929.68,"1,292.46"
2022-04-22,"2,704.71",355.43,922.78,"1,277.14"
2022-04-23,"2,704.71",355.43,922.78,"1,277.14"
2022-04-24,"2,704.71",355.43,922.78,"1,277.14"
2022-04-25,"2,657.13",348.98,899.84,"1,243.28"
2022-04-26,"2,668.31",350.67,911.16,"1,265.28"
2022-04-27,"2,639.06",346.21,896.18,"1,241.14"
2022-04-28,"2,667.49",350.16,892.22,"1,235.51"
2022-04-29,"2,695.05",355.08,904.75,"1,261.29"
2022-04-30,"2,695.05",355.08,904.75,"1,261.29"
2022-05-01,"2,695.05",355.08,904.75,"1,261.29"
2022-05-02,"2,687.45",354.02,901.82,"1,248.17"
2022-05-03,"2,680.46",353.32,907.57,"1,258.60"
2022-05-04,"2,677.57",353.85,900.06,"1,249.93"
2022-05-05,"2,677.57",353.85,900.06,"1,249.93"
2022-05-06,"2,644.51",349.00,884.22,"1,220.54"
2022-05-07,"2,644.51",349.00,884.22,"1,220.54"
2022-05-08,"2,644.51",349.00,884.22,"1,220.54"
2022-05-09,"2,610.81",345.41,860.84,"1,189.52"
2022-05-10,"2,596.56",343.67,856.14,"1,182.31"
2022-05-11,"2,592.27",343.44,866.34,"1,211.73"
2022-05-12,"2,550.08",337.94,833.66,"1,157.14"
2022-05-13,"2,604.24",345.50,853.08,"1,198.44"
2022-05-14,"2,604.24",345.50,853.08,"1,198.44"
2022-05-15,"2,604.24",345.50,853.08,"1,198.44"
2022-05-16,"2,596.58",343.94,856.25,"1,198.55"
2022-05-17,"2,620.44",347.53,865.98,"1,220.19"
2022-05-18,"2,625.98",348.34,871.57,"1,235.92"
2022-05-19,"2,592.34",343.24,863.80,"1,222.69"
2022-05-20,"2,639.29",349.29,879.88,"1,256.22"
2022-05-21,"2,639.29",349.29,879.88,"1,256.22"
2022-05-22,"2,639.29",349.29,879.88,"1,256.22"
2022-05-23,"2,647.38",350.34,883.59,"1,263.31"
2022-05-24,"2,605.87",344.08,865.07,"1,227.86"
2022-05-25,"2,617.22",345.60,872.69,"1,245.64"
2022-05-26,"2,612.45",344.26,871.43,"1,238.71"
2022-05-27,"2,638.05",348.04,873.97,"1,239.35"
2022-05-28,"2,638.05",348.04,873.97,"1,239.35"
2022-05-29,"2,638.05",348.04,873.97,"1,239.35"
2022-05-30,"2,669.66",352.49,886.44,"1,257.55"
2022-05-31,"2,685.90",354.54,893.36,"1,269.22"
2022-06-01,"2,685.90",354.54,893.36,"1,269.22"
2022-06-02,"2,658.99",350.51,891.14,"1,257.18"
2022-06-03,"2,670.65",352.01,891.51,"1,252.97"
2022-06-04,"2,670.65",352.01,891.51,"1,252.97"
2022-06-05,"2,670.65",352.01,891.51,"1,252.97"
2022-06-06,"2,670.65",352.01,891.51,"1,252.97"
2022-06-07,"2,626.34",345.67,873.78,"1,217.83"
2022-06-08,"2,626.15",346.22,874.95,"1,219.69"
2022-06-09,"2,625.44",346.62,877.18,"1,231.58"
2022-06-10,"2,595.87",341.89,869.86,"1,212.68"
2022-06-11,"2,595.87",341.89,869.86,"1,212.68"
2022-06-12,"2,595.87",341.89,869.86,"1,212.68"
2022-06-13,"2,504.51",329.88,828.77,"1,159.47"
2022-06-14,"2,492.97",328.23,823.58,"1,159.81"
2022-06-15,"2,447.38",322.21,799.41,"1,127.92"
2022-06-16,"2,451.41",322.25,802.15,"1,135.58"
2022-06-17,"2,440.93",320.09,798.69,"1,130.79"
2022-06-18,"2,440.93",320.09,798.69,"1,130.79"
2022-06-19,"2,440.93",320.09,798.69,"1,130.79"
2022-06-20,"2,391.03",314.44,769.92,"1,100.66"
2022-06-21,"2,408.93",316.38,778.30,"1,112.80"
2022-06-22,"2,342.81",308.08,746.96,"1,069.75"
2022-06-23,"2,314.32",305.45,714.38,"1,031.03"
2022-06-24,"2,366.60",312.07,750.30,"1,093.30"
2022-06-25,"2,366.60",312.07,750.30,"1,093.30"
2022-06-26,"2,366.60",312.07,750.30,"1,093.30"
2022-06-27,"2,401.92",316.20,770.60,"1,113.60"
2022-06-28,"2,422.09",319.11,769.51,"1,103.45"
2022-06-29,"2,377.99",312.86,762.35,"1,079.54"
2022-06-30,"2,332.64",307.20,745.44,"1,056.42"
2022-07-01,"2,305.42",304.02,729.48,"1,031.71"
2022-07-02,"2,305.42",304.02,729.48,"1,031.71"
2022-07-03,"2,305.42",304.02,729.48,"1,031.71"
2022-07-04,"2,300.34",304.01,722.73,"1,028.63"
2022-07-05,"2,341.78",309.03,750.95,"1,076.60"
2022-07-06,"2,292.01",302.28,744.63,"1,061.71"
2022-07-07,"2,334.27",308.31,757.97,"1,081.45"
2022-07-08,"2,350.61",310.15,766.48,"1,096.43"
2022-07-09,"2,350.61",310.15,766.48,"1,096.43"
2022-07-10,"2,350.61",310.15,766.48,"1,096.43"
2022-07-11,"2,340.27",308.29,767.04,"1,095.41"
2022-07-12,"2,317.76",305.03,750.78,"1,071.52"
2022-07-13,"2,328.61",306.59,763.18,"1,099.68"
2022-07-14,"2,322.32",305.35,766.08,"1,100.95"
2022-07-15,"2,330.98",307.91,762.39,"1,096.36"
2022-07-16,"2,330.98",307.91,762.39,"1,096.36"
2022-07-17,"2,330.98",307.91,762.39,"1,096.36"
2022-07-18,"2,375.25",314.87,776.72,"1,111.63"
2022-07-19,"2,370.97",313.90,782.33,"1,119.55"
2022-07-20,"2,386.85",316.02,790.72,"1,135.34"
2022-07-21,"2,409.16",319.68,795.15,"1,136.96"
2022-07-22,"2,393.14",317.33,789.75,"1,127.29"
2022-07-23,"2,393.14",317.33,789.75,"1,127.29"
2022-07-24,"2,393.14",317.33,789.75,"1,127.29"
2022-07-25,"2,403.69",318.34,789.69,"1,127.80"
2022-07-26,"2,412.96",319.61,789.93,"1,127.87"
2022-07-27,"2,415.53",319.74,795.70,"1,136.85"
2022-07-28,"2,435.27",321.62,798.32,"1,142.74"
2022-07-29,"2,451.50",323.31,803.62,"1,151.80"
2022-07-30,"2,451.50",323.31,803.62,"1,151.80"
2022-07-31,"2,451.50",323.31,803.62,"1,151.80"
2022-08-01,"2,452.25",322.97,807.61,"1,155.23"
2022-08-02,"2,439.62",321.64,804.34,"1,150.06"
2022-08-03,"2,461.45",323.80,815.36,"1,171.22"
2022-08-04,"2,473.11",325.47,825.16,"1,193.08"
2022-08-05,"2,490.80",327.50,831.64,"1,207.32"
2022-08-06,"2,490.80",327.50,831.64,"1,207.32"
2022-08-07,"2,490.80",327.50,831.64,"1,207.32"
2022-08-08,"2,493.10",327.23,830.86,"1,203.77"
2022-08-09,"2,503.46",328.11,833.65,"1,213.42"
2022-08-10,"2,480.88",324.35,820.27,"1,184.07"
2022-08-11,"2,523.78",329.92,832.15,"1,203.57"
2022-08-12,"2,527.94",330.67,831.63,"1,196.34"
2022-08-13,"2,527.94",330.67,831.63,"1,196.34"
2022-08-14,"2,527.94",330.67,831.63,"1,196.34"
2022-08-15,"2,527.94",330.67,831.63,"1,196.34"
2022-08-16,"2,533.52",331.78,834.74,"1,204.24"
2022-08-17,"2,516.47",329.91,827.42,"1,194.09"
2022-08-18,"2,508.05",328.80,826.06,"1,191.04"
2022-08-19,"2,492.69",326.79,814.17,"1,168.45"
2022-08-20,"2,492.69",326.79,814.17,"1,168.45"
2022-08-21,"2,492.69",326.79,814.17,"1,168.45"
2022-08-22,"2,462.50",322.77,795.87,"1,142.20"
2022-08-23,"2,435.34",318.69,783.42,"1,118.30"
2022-08-24,"2,447.45",319.86,793.14,"1,135.21"
2022-08-25,"2,477.26",323.63,807.37,"1,160.90"
2022-08-26,"2,481.03",323.91,802.45,"1,145.59"
2022-08-27,"2,481.03",323.91,802.45,"1,145.59"
2022-08-28,"2,481.03",323.91,802.45,"1,145.59"
2022-08-29,"2,426.89",316.35,779.89,"1,106.60"
2022-08-30,"2,450.93",319.49,797.02,"1,139.00"
2022-08-31,"2,472.05",322.96,807.04,"1,155.03"
2022-09-01,"2,415.61",315.02,788.32,"1,120.98"
2022-09-02,"2,409.41",312.92,785.88,"1,119.78"
2022-09-03,"2,409.41",312.92,785.88,"1,119.78"
2022-09-04,"2,409.41",312.92,785.88,"1,119.78"
2022-09-05,"2,403.68",312.47,771.43,"1,096.03"
2022-09-06,"2,410.02",313.01,779.46,"1,100.56"
2022-09-07,"2,376.46",308.16,768.19,"1,085.13"
2022-09-08,"2,384.28",309.12,777.81,"1,113.00"
2022-09-09,"2,384.28",309.12,777.81,"1,113.00"
2022-09-10,"2,384.28",309.12,777.81,"1,113.00"
2022-09-11,"2,384.28",309.12,777.81,"1,113.00"
2022-09-12,"2,384.28",309.12,777.81,"1,113.00"
2022-09-13,"2,449.54",318.56,796.79,"1,142.18"
2022-09-14,"2,411.42",312.74,782.93,"1,105.26"
2022-09-15,"2,401.83",310.63,781.38,"1,097.06"
2022-09-16,"2,382.78",308.69,770.04,"1,080.84"
2022-09-17,"2,382.78",308.69,770.04,"1,080.84"
2022-09-18,"2,382.78",308.69,770.04,"1,080.84"
2022-09-19,"2,355.66",306.49,751.91,"1,059.34"
2022-09-20,"2,367.85",307.54,760.35,"1,067.78"
2022-09-21,"2,347.21",304.67,754.89,"1,055.98"
2022-09-22,"2,332.31",301.65,751.41,"1,051.02"
2022-09-23,"2,290.00",297.74,729.36,"1,019.59"
2022-09-24,"2,290.00",297.74,729.36,"1,019.59"
2022-09-25,"2,290.00",297.74,729.36,"1,019.59"
2022-09-26,"2,220.94",289.77,692.37,975.09
2022-09-27,"2,223.86",290.20,698.11,989.50
2022-09-28,"2,169.29",283.19,673.87,958.14
2022-09-29,"2,170.93",282.65,675.07,963.95
2022-09-30,"2,155.49",281.36,672.65,956.48
2022-10-01,"2,155.49",281.36,672.65,956.48
2022-10-02,"2,155.49",281.36,672.65,956.48
2022-10-03,"2,155.49",281.36,672.65,956.48
2022-10-04,"2,209.38",288.27,696.79,993.04
2022-10-05,"2,215.22",289.05,685.34,969.27
2022-10-06,"2,237.86",291.26,706.01,"1,000.40"
2022-10-07,"2,232.84",290.41,698.49,983.06
2022-10-08,"2,232.84",290.41,698.49,983.06
2022-10-09,"2,232.84",290.41,698.49,983.06
2022-10-10,"2,232.84",290.41,698.49,983.06
2022-10-11,"2,192.07",284.96,669.50,944.15
2022-10-12,"2,202.47",287.09,671.67,954.19
2022-10-13,"2,162.87",282.57,651.59,932.60
2022-10-14,"2,212.55",289.36,678.24,973.46
2022-10-15,"2,212.55",289.36,678.24,973.46
2022-10-16,"2,212.55",289.36,678.24,973.46
2022-10-17,"2,219.71",289.57,682.00,972.51
2022-10-18,"2,249.95",293.59,697.09,998.00
2022-10-19,"2,237.44",291.29,690.56,982.64
2022-10-20,"2,218.09",288.61,680.44,961.72
2022-10-21,"2,213.12",288.57,674.48,958.87
2022-10-22,"2,213.12",288.57,674.48,958.87
2022-10-23,"2,213.12",288.57,674.48,958.87
2022-10-24,"2,236.16",291.47,688.50,989.09
2022-10-25,"2,235.07",291.58,688.85,988.43
2022-10-26,"2,249.56",293.85,683.17,983.84
2022-10-27,"2,288.78",298.82,695.09,"1,005.45"
2022-10-28,"2,268.40",295.06,687.63,992.70
2022-10-29,"2,268.40",295.06,687.63,992.70
2022-10-30,"2,268.40",295.06,687.63,992.70
2022-10-31,"2,293.61",299.58,695.33,"1,006.82"
2022-11-01,"2,335.22",303.88,700.05,"1,007.58"
2022-11-02,"2,336.87",303.87,697.37,"1,000.92"
2022-11-03,"2,329.17",301.66,694.13,987.63
2022-11-04,"2,348.43",304.33,693.89,985.48
2022-11-05,"2,348.43",304.33,693.89,985.48
2022-11-06,"2,348.43",304.33,693.89,985.48
2022-11-07,"2,371.79",307.87,700.48,996.95
2022-11-08,"2,399.04",312.01,713.33,"1,021.39"
2022-11-09,"2,424.41",315.23,714.60,"1,019.36"
2022-11-10,"2,402.23",311.13,707.78,"1,003.01"
2022-11-11,"2,483.16",323.09,731.22,"1,056.17"
2022-11-12,"2,483.16",323.09,731.22,"1,056.17"
2022-11-13,"2,483.16",323.09,731.22,"1,056.17"
2022-11-14,"2,474.65",321.53,729.54,"1,047.59"
2022-11-15,"2,480.33",322.31,744.96,"1,079.85"
2022-11-16,"2,477.45",321.96,743.10,"1,073.48"
2022-11-17,"2,442.90",316.75,737.54,"1,063.23"
2022-11-18,"2,444.48",317.12,731.92,"1,051.11"
2022-11-19,"2,444.48",317.12,731.92,"1,051.11"
2022-11-20,"2,444.48",317.12,731.92,"1,051.11"
2022-11-21,"2,419.50",314.67,718.57,"1,027.84"
2022-11-22,"2,405.27",312.02,712.26,"1,014.24"
2022-11-23,"2,418.01",314.11,725.59,"1,039.74"
2022-11-24,"2,441.33",317.30,738.22,"1,057.67"
2022-11-25,"2,437.86",316.07,733.56,"1,045.54"
2022-11-26,"2,437.86",316.07,733.56,"1,045.54"
2022-11-27,"2,437.86",316.07,733.56,"1,045.54"
2022-11-28,"2,408.27",312.21,717.90,"1,019.36"
2022-11-29,"2,433.39",315.58,727.54,"1,037.75"
2022-11-30,"2,472.53",321.00,729.54,"1,038.42"
2022-12-01,"2,479.84",322.02,740.60,"1,058.54"
2022-12-02,"2,434.33",315.02,732.95,"1,036.08"
2022-12-03,"2,434.33",315.02,732.95,"1,036.08"
2022-12-04,"2,434.33",315.02,732.95,"1,036.08"
2022-12-05,"2,419.32",313.91,733.32,"1,042.28"
2022-12-06,"2,393.16",310.14,719.44,"1,019.51"
2022-12-07,"2,382.81",308.27,718.14,"1,019.39"
2022-12-08,"2,371.08",308.24,712.52,"1,014.56"
2022-12-09,"2,389.04",311.63,719.49,"1,025.41"
2022-12-10,"2,389.04",311.63,719.49,"1,025.41"
2022-12-11,"2,389.04",311.63,719.49,"1,025.41"
2022-12-12,"2,373.02",309.64,715.22,"1,015.50"
2022-12-13,"2,372.40",309.56,715.16,"1,015.62"
2022-12-14,"2,399.25",313.23,729.00,"1,038.78"
2022-12-15,"2,360.97",307.73,722.68,"1,020.61"
2022-12-16,"2,360.02",307.48,717.41,"1,010.47"
2022-12-17,"2,360.02",307.48,717.41,"1,010.47"
2022-12-18,"2,360.02",307.48,717.41,"1,010.47"
2022-12-19,"2,352.17",306.77,717.22,"1,009.92"
2022-12-20,"2,333.29",304.05,703.13,988.32
2022-12-21,"2,328.95",303.23,705.70,994.68
2022-12-22,"2,356.73",307.48,715.02,"1,017.63"
2022-12-23,"2,313.69",302.07,691.25,979.06
2022-12-24,"2,313.69",302.07,691.25,979.06
2022-12-25,"2,313.69",302.07,691.25,979.06
2022-12-26,"2,317.14",302.27,694.68,994.28
2022-12-27,"2,332.79",304.22,704.19,"1,009.32"
2022-12-28,"2,280.45",297.09,692.37,976.59
2022-12-29,"2,236.40",291.10,679.29,957.78
2022-12-30,"2,236.40",291.10,679.29,957.78
2022-12-31,"2,236.40",291.10,679.29,957.78
2023-01-01,"2,236.40",291.10,679.29,957.78
2023-01-02,"2,225.67",289.79,671.51,950.22
2023-01-03,"2,218.68",289.58,674.95,955.23
2023-01-04,"2,255.98",295.98,683.67,963.01
2023-01-05,"2,264.65",297.87,679.92,953.34
2023-01-06,"2,289.97",301.53,688.94,971.08
2023-01-07,"2,289.97",301.53,688.94,971.08
2023-01-08,"2,289.97",301.53,688.94,971.08
2023-01-09,"2,350.19",309.69,701.21,988.55
2023-01-10,"2,351.31",309.57,696.05,970.69
2023-01-11,"2,359.53",310.38,709.77,994.46
2023-01-12,"2,365.10",310.70,710.82,997.11
2023-01-13,"2,386.09",313.77,711.82,993.77
2023-01-14,"2,386.09",313.77,711.82,993.77
2023-01-15,"2,386.09",313.77,711.82,993.77
2023-01-16,"2,399.86",316.04,716.89,"1,001.22"
2023-01-17,"2,379.39",313.75,709.71,983.20
2023-01-18,"2,368.32",311.91,711.75,986.26
2023-01-19,"2,380.34",313.81,712.89,987.91
2023-01-20,"2,395.26",315.58,717.97,992.23
2023-01-21,"2,395.26",315.58,717.97,992.23
2023-01-22,"2,395.26",315.58,717.97,992.23
2023-01-23,"2,395.26",315.58,717.97,992.23
2023-01-24,"2,395.26",315.58,717.97,992.23
2023-01-25,"2,428.57",320.76,732.35,"1,013.85"
2023-01-26,"2,468.65",325.57,738.94,"1,029.48"
2023-01-27,"2,484.02",327.98,741.25,"1,028.90"
2023-01-28,"2,484.02",327.98,741.25,"1,028.90"
2023-01-29,"2,484.02",327.98,741.25,"1,028.90"
2023-01-30,"2,450.47",322.67,738.62,"1,020.13"
2023-01-31,"2,425.08",317.26,740.49,"1,021.60"
2023-02-01,"2,449.80",321.19,750.96,"1,045.49"
2023-02-02,"2,468.88",323.93,764.62,"1,067.55"
2023-02-03,"2,480.40",325.86,766.79,"1,071.57"
2023-02-04,"2,480.40",325.86,766.79,"1,071.57"
2023-02-05,"2,480.40",325.86,766.79,"1,071.57"
2023-02-06,"2,438.19",318.83,761.33,"1,060.91"
2023-02-07,"2,451.71",320.55,772.79,"1,085.28"
2023-02-08,"2,483.64",325.63,779.98,"1,095.20"
2023-02-09,"2,481.52",324.90,784.58,"1,110.82"
2023-02-10,"2,469.73",323.69,772.44,"1,095.66"
2023-02-11,"2,469.73",323.69,772.44,"1,095.66"
2023-02-12,"2,469.73",323.69,772.44,"1,095.66"
2023-02-13,"2,452.70",321.75,772.55,"1,095.91"
2023-02-14,"2,465.64",323.47,779.58,"1,111.22"
2023-02-15,"2,427.90",317.99,765.46,"1,093.31"
2023-02-16,"2,475.48",324.10,784.71,"1,136.02"
2023-02-17,"2,451.21",320.78,775.62,"1,113.06"
2023-02-18,"2,451.21",320.78,775.62,"1,113.06"
2023-02-19,"2,451.21",320.78,775.62,"1,113.06"
2023-02-20,"2,455.12",321.79,788.89,"1,145.86"
2023-02-21,"2,458.96",321.56,793.42,"1,153.41"
2023-02-22,"2,417.68",315.94,778.51,"1,121.96"
2023-02-23,"2,439.09",319.44,783.28,"1,127.00"
2023-02-24,"2,423.61",316.94,778.88,"1,116.97"
2023-02-25,"2,423.61",316.94,778.88,"1,116.97"
2023-02-26,"2,423.61",316.94,778.88,"1,116.97"
2023-02-27,"2,402.64",313.94,780.30,"1,120.92"
2023-02-28,"2,412.85",314.80,791.60,"1,143.05"
2023-03-01,"2,412.85",314.80,791.60,"1,143.05"
2023-03-02,"2,427.85",316.26,787.19,"1,127.77"
2023-03-03,"2,432.07",316.36,802.42,"1,161.02"
2023-03-04,"2,432.07",316.36,802.42,"1,161.02"
2023-03-05,"2,432.07",316.36,802.42,"1,161.02"
2023-03-06,"2,462.62",320.94,816.51,"1,187.20"
2023-03-07,"2,463.35",319.80,815.76,"1,186.01"
2023-03-08,"2,431.91",315.38,813.95,"1,188.23"
2023-03-09,"2,419.09",314.04,809.22,"1,182.41"
2023-03-10,"2,394.59",310.65,788.60,"1,147.19"
2023-03-11,"2,394.59",310.65,788.60,"1,147.19"
2023-03-12,"2,394.59",310.65,788.60,"1,147.19"
2023-03-13,"2,410.60",313.21,788.89,"1,156.69"
2023-03-14,"2,348.97",305.58,758.05,"1,116.04"
2023-03-15,"2,379.72",309.10,781.17,"1,155.19"
2023-03-16,"2,377.91",308.39,781.98,"1,153.48"
2023-03-17,"2,395.69",312.07,797.39,"1,170.57"
2023-03-18,"2,395.69",312.07,797.39,"1,170.57"
2023-03-19,"2,395.69",312.07,797.39,"1,170.57"
2023-03-20,"2,379.20",309.49,802.20,"1,175.94"
2023-03-21,"2,388.35",310.36,802.53,"1,174.77"
2023-03-22,"2,416.96",314.11,813.43,"1,196.25"
2023-03-23,"2,424.48",315.75,812.19,"1,195.88"
2023-03-24,"2,414.96",314.30,824.11,"1,210.94"
2023-03-25,"2,414.96",314.30,824.11,"1,210.94"
2023-03-26,"2,414.96",314.30,824.11,"1,210.94"
2023-03-27,"2,409.22",312.85,827.69,"1,214.28"
2023-03-28,"2,434.94",316.36,833.51,"1,216.61"
2023-03-29,"2,443.92",317.01,843.94,"1,238.82"
2023-03-30,"2,453.16",318.05,850.48,"1,251.33"
2023-03-31,"2,476.86",322.03,847.52,"1,260.21"
2023-04-01,"2,476.86",322.03,847.52,"1,260.21"
2023-04-02,"2,476.86",322.03,847.52,"1,260.21"
2023-04-03,"2,472.34",320.38,854.96,"1,266.51"
2023-04-04,"2,480.51",321.75,857.18,"1,268.07"
2023-04-05,"2,495.21",323.56,872.36,"1,299.07"
2023-04-06,"2,459.23",317.82,865.58,"1,296.49"
2023-04-07,"2,490.41",323.36,880.07,"1,329.15"
2023-04-08,"2,490.41",323.36,880.07,"1,329.15"
2023-04-09,"2,490.41",323.36,880.07,"1,329.15"
2023-04-10,"2,512.08",326.38,887.78,"1,369.32"
2023-04-11,"2,547.86",330.87,898.94,"1,391.23"
2023-04-12,"2,550.64",332.09,890.62,"1,360.56"
2023-04-13,"2,561.66",333.09,894.25,"1,361.04"
2023-04-14,"2,571.49",333.68,903.84,"1,375.97"
2023-04-15,"2,571.49",333.68,903.84,"1,375.97"
2023-04-16,"2,571.49",333.68,903.84,"1,375.97"
2023-04-17,"2,575.91",333.92,909.50,"1,381.72"
2023-04-18,"2,571.09",333.50,909.02,"1,381.32"
2023-04-19,"2,575.08",333.77,909.20,"1,370.38"
2023-04-20,"2,563.11",332.66,885.71,"1,333.72"
2023-04-21,"2,544.40",330.94,868.82,"1,304.65"
