,Last Refresh: 2024-11-24 19:29:00,
Calendar Basis,,
Portfolio, ,Default
Item, , 
Frequency,일간,KRW
Non-Trading Day,Previous,Asc
Include Weekend,ALL, 
Term,20071020,20241120
Symbol,Economy,
Symbol Name,ECO,
Kind,ECO,
Item,E11.02.003.013,
Item Name,시장금리:국고1년(%),
Frequency,D,
2009-05-19,2.57,
2009-05-20,2.57,
2009-05-21,2.53,
2009-05-22,2.53,
2009-05-23,2.53,
2009-05-24,2.53,
2009-05-25,2.5,
2009-05-26,2.5,
2009-05-27,2.5,
2009-05-28,2.5,
2009-05-29,2.46,
2009-05-30,2.46,
2009-05-31,2.46,
2009-06-01,2.43,
2009-06-02,2.48,
2009-06-03,2.47,
2009-06-04,2.45,
2009-06-05,2.45,
2009-06-06,2.45,
2009-06-07,2.45,
2009-06-08,2.54,
2009-06-09,2.6,
2009-06-10,2.64,
2009-06-11,2.95,
2009-06-12,3.06,
2009-06-13,3.06,
2009-06-14,3.06,
2009-06-15,3.2,
2009-06-16,3.2,
2009-06-17,3.2,
2009-06-18,3.17,
2009-06-19,3.08,
2009-06-20,3.08,
2009-06-21,3.08,
2009-06-22,3.03,
2009-06-23,2.95,
2009-06-24,2.91,
2009-06-25,2.98,
2009-06-26,2.94,
2009-06-27,2.94,
2009-06-28,2.94,
2009-06-29,2.92,
2009-06-30,2.95,
2009-07-01,2.93,
2009-07-02,2.91,
2009-07-03,2.86,
2009-07-04,2.86,
2009-07-05,2.86,
2009-07-06,2.83,
2009-07-07,2.85,
2009-07-08,2.8,
2009-07-09,2.73,
2009-07-10,2.64,
2009-07-11,2.64,
2009-07-12,2.64,
2009-07-13,2.65,
2009-07-14,2.65,
2009-07-15,2.66,
2009-07-16,2.66,
2009-07-17,2.73,
2009-07-18,2.73,
2009-07-19,2.73,
2009-07-20,2.76,
2009-07-21,2.75,
2009-07-22,2.76,
2009-07-23,2.72,
2009-07-24,2.71,
2009-07-25,2.71,
2009-07-26,2.71,
2009-07-27,2.71,
2009-07-28,2.71,
2009-07-29,2.73,
2009-07-30,2.72,
2009-07-31,2.78,
2009-08-01,2.78,
2009-08-02,2.78,
2009-08-03,2.85,
2009-08-04,2.84,
2009-08-05,2.89,
2009-08-06,2.95,
2009-08-07,2.96,
2009-08-08,2.96,
